City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Cape Town,20,72,-33.93,18.42,66.2,19.46
Morrinhos,76,92,-3.23,-40.13,76.83,7.74
Palmer,90,84,61.6,-149.11,5.0,4.7
Hay River,90,63,60.82,-115.79,-11.21,10.29
Yumen,32,78,40.29,97.04,0.78,5.17
Hithadhoo,64,100,-0.6,73.08,81.37,6.85
Ushuaia,75,61,-54.81,-68.31,51.8,24.16
Rapid City,75,40,44.08,-103.23,48.02,17.22
Upernavik,76,100,72.79,-56.15,9.6,15.57
Bredasdorp,8,77,-34.53,20.04,66.2,6.51
Jacareacanga,20,79,-6.22,-57.76,87.8,3.36
Port-Gentil,20,94,-0.72,8.78,78.8,2.24
Kodiak,1,50,39.95,-94.76,57.02,10.29
Rikitea,80,96,-23.12,-134.97,80.07,15.9
Carauari,80,83,-4.88,-66.9,82.32,3.94
Kutum,0,35,14.2,24.66,55.81,9.98
Mar del Plata,88,53,-46.43,-67.52,61.98,21.27
Kapaa,1,64,22.08,-159.32,78.08,9.17
Rio Gallegos,75,50,-51.62,-69.22,55.4,6.93
Tuktoyaktuk,40,82,69.44,-133.03,-16.61,5.82
Tasiilaq,92,45,65.61,-37.64,23.0,5.82
Souillac,90,93,45.6,-0.6,42.8,2.93
Svetlogorsk,36,77,53.14,59.15,-0.41,6.71
Albany,90,37,42.65,-73.75,21.2,4.7
Bathsheba,20,65,13.22,-59.52,82.4,19.46
Comodoro Rivadavia,40,16,-45.87,-67.48,75.2,27.51
Port Elizabeth,90,51,39.31,-74.98,34.34,3.36
Tiksi,12,51,71.64,128.87,-30.68,2.71
Severo-Kurilsk,64,100,50.68,156.12,26.74,22.84
Lebu,0,34,8.96,38.73,51.8,11.41
Paamiut,92,100,61.99,-49.67,30.52,11.65
Acapulco,40,74,16.86,-99.88,84.2,8.05
Port Alfred,88,85,-33.59,26.89,71.97,14.67
Parrsboro,40,67,45.41,-64.33,21.2,6.93
Arraial do Cabo,0,62,-22.97,-42.02,87.8,17.22
Coihaique,90,76,-45.58,-72.07,50.0,5.82
Pingliang,0,68,35.54,106.68,10.36,2.59
Gurupi,0,85,-11.73,-49.07,81.78,3.49
Busselton,0,100,-33.64,115.35,60.04,21.72
Saint George,20,73,39.45,22.34,30.2,8.05
Hermanus,20,92,-34.42,19.24,58.87,3.83
Ternate,20,78,14.29,120.72,77.0,17.25
Alice Springs,0,20,-23.7,133.88,64.4,3.36
Bull Savanna,20,50,17.89,-77.59,82.36,4.72
Hobart,20,67,-42.88,147.33,60.8,8.05
Cayenne,90,74,4.94,-52.33,80.6,13.87
Koping,90,98,59.51,15.99,35.6,8.05
Taltal,0,61,-25.41,-70.49,69.36,4.5
Dhanera,0,74,24.51,72.02,53.7,5.95
Tosagua,75,70,-0.79,-80.23,84.2,6.93
Barrow,44,34,-38.31,-60.23,86.64,10.76
Maragogi,80,100,-9.01,-35.22,74.58,4.72
Atuona,76,100,-9.8,-139.03,81.37,16.69
Vestmannaeyjar,56,93,63.44,-20.27,39.39,14.23
Egvekinot,0,0,66.32,-179.17,-45.04,2.37
Vila Velha,20,78,-3.71,-38.6,82.4,13.87
Punta Arenas,0,58,-53.16,-70.91,57.2,16.11
Dikson,56,100,73.51,80.55,-3.82,15.01
Port Augusta,0,93,-32.49,137.76,60.8,6.93
Nanortalik,100,92,60.14,-45.24,33.94,39.62
Eureka,75,100,40.8,-124.16,51.98,21.92
Tisul,68,83,55.76,88.31,16.89,17.81
Kavieng,80,100,-2.57,150.8,83.67,11.1
Faanui,88,100,-16.48,-151.75,82.77,9.31
Nurota,92,93,40.56,65.69,46.4,9.17
Bluff,92,88,-23.58,149.07,71.61,10.09
Airai,12,88,-8.93,125.41,65.67,1.36
Narsaq,92,88,60.91,-46.05,30.75,16.8
Ribeira Grande,40,88,38.52,-28.7,64.4,20.8
Jalu,12,90,29.03,21.55,45.51,8.41
Dossor,64,88,47.52,52.98,15.09,12.66
East London,92,94,-33.02,27.91,72.96,20.83
Pacific Grove,40,69,36.62,-121.92,59.0,3.36
Toba,75,100,34.47,136.83,37.4,4.7
Mahebourg,75,88,-20.41,57.7,80.6,13.87
Pevek,0,94,69.7,170.27,-21.46,5.84
Vilhena,88,87,-12.74,-60.15,74.22,2.93
Abu Dhabi,0,68,24.47,54.37,69.8,2.24
Kurilsk,48,100,45.23,147.88,25.26,16.02
Ilulissat,75,78,69.22,-51.1,17.6,4.7
Dabat,8,22,12.98,37.77,46.27,3.15
Vaini,0,80,15.34,74.49,59.46,3.49
Tilichiki,64,87,60.47,166.1,28.86,14.67
Carutapera,92,86,-1.2,-46.02,80.7,8.08
Chernyshevskiy,68,73,63.01,112.47,-0.31,5.73
Moroni,92,80,39.52,-111.59,32.32,6.62
Victoria,75,78,5.28,115.24,80.6,4.7
Petropavlovsk-Kamchatskiy,20,45,53.05,158.65,24.8,17.9
Saint-Philippe,1,55,45.36,-73.48,12.2,2.59
Champerico,40,40,16.38,-93.6,86.0,3.36
Cidreira,12,62,-30.17,-50.22,89.97,16.02
Talnakh,56,70,69.49,88.39,0.6,4.38
Araure,68,52,9.59,-69.23,87.27,3.71
Saint Marys,40,68,41.43,-78.56,30.02,16.11
Nikolskoye,90,92,59.7,30.79,28.4,4.47
Yellowknife,75,67,62.45,-114.38,-22.01,9.17
Vila Franca do Campo,40,88,37.72,-25.43,62.6,18.34
Constitucion,90,26,23.99,-104.67,71.6,6.93
Hofn,32,100,64.25,-15.21,36.78,11.65
Abu Samrah,88,96,35.3,37.18,42.09,3.15
Tabalosos,40,290,-6.39,-76.63,62.6,11.41
Kysyl-Syr,32,61,63.9,122.77,-21.23,3.27
Almeirim,0,30,39.21,-8.63,55.4,3.36
Kuusamo,90,92,65.96,29.19,19.4,4.7
